# /datac/proj/2008/wsafr/run.256x60x180.2068-a3b2.4-mp1umn1de-1.g15q0d4/evo.Earth.dat
# Temporal profiles at EARTH
# 
# program = enlil
# version = 2.6
# observatory = gong
# corona = WSA_V1.6.1a
# shift_deg = 8.000
# coordinates = HEEQ
# run = 256x60x180.2068-a3b2.4-mp1umn1de-1.g15q0d4
# 
#-------------------------------------------------------------------------------------------------------------
#     MJD        date   time      R    Lat     Lon       N      T   Vrad   Vthe   Vphi    Brad    Bthe    Bphi
#          yyyy-mm-dd  hh:mm     AU    deg     deg    cm-3     kK   km/s   km/s   km/s      nT      nT      nT
#-------------------------------------------------------------------------------------------------------------
54545.001  2008-03-20  00:01  0.994  -7.20    0.00    2.38   65.3  662.4   -0.6   -1.4    2.73    0.01   -1.45
54545.003  2008-03-20  00:04  0.994  -7.20    0.00    2.38   65.2  662.2   -0.6   -1.3    2.73    0.01   -1.45
54545.005  2008-03-20  00:07  0.994  -7.20    0.00    2.39   65.2  662.1   -0.6   -1.3    2.73    0.01   -1.45
54545.007  2008-03-20  00:10  0.994  -7.20    0.00    2.39   65.2  661.9   -0.6   -1.3    2.73    0.01   -1.45
54545.009  2008-03-20  00:13  0.994  -7.20    0.00    2.39   65.1  661.8   -0.6   -1.3    2.73    0.01   -1.45
54545.011  2008-03-20  00:16  0.994  -7.20    0.00    2.39   65.1  661.6   -0.6   -1.3    2.73    0.01   -1.45
54545.013  2008-03-20  00:19  0.994  -7.20    0.00    2.39   65.1  661.4   -0.6   -1.3    2.73    0.01   -1.45
54545.015  2008-03-20  00:22  0.994  -7.20    0.00    2.39   65.1  661.3   -0.6   -1.3    2.73    0.01   -1.45
54545.017  2008-03-20  00:25  0.994  -7.20    0.00    2.39   65.0  661.1   -0.6   -1.2    2.73    0.01   -1.45
54545.019  2008-03-20  00:28  0.994  -7.20    0.00    2.39   65.0  661.0   -0.7   -1.2    2.73    0.01   -1.45
54545.022  2008-03-20  00:31  0.994  -7.20    0.00    2.39   65.0  660.8   -0.7   -1.2    2.73    0.01   -1.45
54545.024  2008-03-20  00:34  0.994  -7.20    0.00    2.40   64.9  660.7   -0.7   -1.2    2.72    0.01   -1.45
54545.026  2008-03-20  00:37  0.994  -7.20    0.00    2.40   64.9  660.5   -0.7   -1.2    2.72    0.01   -1.45
54545.028  2008-03-20  00:39  0.994  -7.20    0.00    2.40   64.9  660.4   -0.7   -1.2    2.72    0.01   -1.45
54545.030  2008-03-20  00:42  0.994  -7.20    0.00    2.40   64.8  660.2   -0.7   -1.2    2.72    0.01   -1.45
54545.032  2008-03-20  00:45  0.994  -7.20    0.00    2.40   64.8  660.0   -0.7   -1.1    2.72    0.01   -1.45
54545.034  2008-03-20  00:48  0.994  -7.20    0.00    2.40   64.8  659.9   -0.7   -1.1    2.72    0.01   -1.45
54545.036  2008-03-20  00:51  0.994  -7.20    0.00    2.40   64.7  659.7   -0.7   -1.1    2.72    0.01   -1.45
54545.038  2008-03-20  00:54  0.994  -7.20    0.00    2.40   64.7  659.6   -0.7   -1.1    2.72    0.01   -1.45
54545.040  2008-03-20  00:57  0.994  -7.20    0.00    2.40   64.7  659.4   -0.7   -1.1    2.72    0.01   -1.45
54545.042  2008-03-20  01:00  0.994  -7.20    0.00    2.41   64.6  659.3   -0.7   -1.1    2.72    0.01   -1.45
54545.044  2008-03-20  01:03  0.994  -7.20    0.00    2.41   64.6  659.1   -0.7   -1.1    2.72    0.01   -1.45
54545.046  2008-03-20  01:06  0.994  -7.20    0.00    2.41   64.6  658.9   -0.7   -1.0    2.72    0.01   -1.45
54545.049  2008-03-20  01:09  0.994  -7.20    0.00    2.41   64.5  658.8   -0.7   -1.0    2.72    0.01   -1.45
54545.051  2008-03-20  01:12  0.994  -7.20    0.00    2.41   64.5  658.6   -0.7   -1.0    2.72    0.01   -1.45
54545.053  2008-03-20  01:15  0.994  -7.20    0.00    2.41   64.5  658.5   -0.7   -1.0    2.72    0.01   -1.45
54545.055  2008-03-20  01:18  0.994  -7.20    0.00    2.41   64.4  658.3   -0.7   -1.0    2.72    0.01   -1.45
54545.057  2008-03-20  01:21  0.994  -7.20    0.00    2.41   64.4  658.2   -0.7   -1.0    2.72    0.01   -1.45
54545.059  2008-03-20  01:24  0.994  -7.20    0.00    2.41   64.4  658.0   -0.7   -0.9    2.72    0.01   -1.45
54545.061  2008-03-20  01:27  0.994  -7.20    0.00    2.41   64.3  657.9   -0.7   -0.9    2.72    0.01   -1.45
54545.063  2008-03-20  01:30  0.994  -7.20    0.00    2.42   64.3  657.7   -0.7   -0.9    2.72    0.01   -1.45
54545.065  2008-03-20  01:33  0.994  -7.20    0.00    2.42   64.3  657.5   -0.7   -0.9    2.72    0.01   -1.45
54545.067  2008-03-20  01:36  0.994  -7.20    0.00    2.42   64.2  657.4   -0.7   -0.9    2.72    0.01   -1.45
54545.069  2008-03-20  01:39  0.994  -7.20    0.00    2.42   64.2  657.2   -0.7   -0.9    2.72    0.01   -1.45
54545.071  2008-03-20  01:42  0.994  -7.20    0.00    2.42   64.2  657.1   -0.7   -0.9    2.72    0.01   -1.45
54545.073  2008-03-20  01:45  0.994  -7.20    0.00    2.42   64.1  656.9   -0.7   -0.8    2.72    0.01   -1.45
54545.075  2008-03-20  01:48  0.994  -7.20    0.00    2.42   64.1  656.8   -0.7   -0.8    2.72    0.01   -1.45
54545.078  2008-03-20  01:51  0.994  -7.20    0.00    2.42   64.1  656.6   -0.7   -0.8    2.72    0.01   -1.45
54545.080  2008-03-20  01:54  0.994  -7.20    0.00    2.42   64.0  656.4   -0.7   -0.8    2.72    0.01   -1.45
54545.082  2008-03-20  01:57  0.994  -7.20    0.00    2.42   64.0  656.3   -0.7   -0.8    2.71    0.01   -1.45
54545.084  2008-03-20  02:00  0.994  -7.20    0.00    2.43   64.0  656.1   -0.7   -0.8    2.71    0.01   -1.45
54545.086  2008-03-20  02:03  0.994  -7.20    0.00    2.43   63.9  656.0   -0.7   -0.7    2.71    0.01   -1.45
54545.088  2008-03-20  02:06  0.994  -7.20    0.00    2.43   63.9  655.8   -0.7   -0.7    2.71    0.01   -1.45
54545.090  2008-03-20  02:09  0.994  -7.20    0.00    2.43   63.9  655.7   -0.7   -0.7    2.71    0.01   -1.45
54545.092  2008-03-20  02:12  0.994  -7.20    0.00    2.43   63.8  655.5   -0.7   -0.7    2.71    0.01   -1.45
54545.094  2008-03-20  02:15  0.994  -7.20    0.00    2.43   63.8  655.3   -0.8   -0.7    2.71    0.01   -1.45
54545.096  2008-03-20  02:18  0.994  -7.20    0.00    2.43   63.8  655.2   -0.8   -0.7    2.71    0.01   -1.45
54545.098  2008-03-20  02:21  0.994  -7.20    0.00    2.43   63.7  655.0   -0.8   -0.7    2.71    0.01   -1.45
54545.100  2008-03-20  02:24  0.994  -7.20    0.00    2.43   63.7  654.9   -0.8   -0.6    2.71    0.01   -1.45
54545.102  2008-03-20  02:27  0.994  -7.20    0.00    2.44   63.7  654.7   -0.8   -0.6    2.71    0.01   -1.45
54545.104  2008-03-20  02:30  0.994  -7.20    0.00    2.44   63.7  654.5   -0.8   -0.6    2.71    0.01   -1.45
54545.106  2008-03-20  02:33  0.994  -7.20    0.00    2.44   63.6  654.4   -0.8   -0.6    2.71    0.01   -1.45
54545.109  2008-03-20  02:36  0.994  -7.20    0.00    2.44   63.6  654.2   -0.8   -0.6    2.71    0.01   -1.45
54545.111  2008-03-20  02:39  0.994  -7.20    0.00    2.44   63.6  654.1   -0.8   -0.6    2.71    0.01   -1.45
54545.113  2008-03-20  02:42  0.994  -7.20    0.00    2.44   63.5  653.9   -0.8   -0.5    2.71    0.01   -1.45
54545.115  2008-03-20  02:45  0.994  -7.20    0.00    2.44   63.5  653.7   -0.8   -0.5    2.71    0.01   -1.45
54545.117  2008-03-20  02:48  0.994  -7.20    0.00    2.44   63.5  653.6   -0.8   -0.5    2.71    0.01   -1.45
54545.119  2008-03-20  02:51  0.994  -7.20    0.00    2.44   63.4  653.4   -0.8   -0.5    2.71    0.01   -1.45
54545.121  2008-03-20  02:54  0.994  -7.20    0.00    2.45   63.4  653.3   -0.8   -0.5    2.71    0.01   -1.45
54545.123  2008-03-20  02:57  0.994  -7.20    0.00    2.45   63.4  653.1   -0.8   -0.5    2.71    0.01   -1.45
54545.125  2008-03-20  03:00  0.994  -7.20    0.00    2.45   63.3  653.0   -0.8   -0.5    2.71    0.01   -1.45
54545.127  2008-03-20  03:03  0.994  -7.20    0.00    2.45   63.3  652.8   -0.8   -0.4    2.71    0.01   -1.45
54545.129  2008-03-20  03:06  0.994  -7.20    0.00    2.45   63.3  652.6   -0.8   -0.4    2.71    0.01   -1.45
54545.131  2008-03-20  03:08  0.994  -7.20    0.00    2.45   63.2  652.5   -0.8   -0.4    2.71    0.01   -1.45
54545.133  2008-03-20  03:11  0.994  -7.20    0.00    2.45   63.2  652.3   -0.8   -0.4    2.71    0.01   -1.45
54545.135  2008-03-20  03:14  0.994  -7.20    0.00    2.45   63.2  652.1   -0.8   -0.4    2.71    0.01   -1.45
54545.137  2008-03-20  03:17  0.994  -7.20    0.00    2.46   63.1  652.0   -0.8   -0.4    2.71    0.01   -1.45
54545.140  2008-03-20  03:20  0.994  -7.20    0.00    2.46   63.1  651.8   -0.8   -0.3    2.71    0.01   -1.45
54545.142  2008-03-20  03:23  0.994  -7.20    0.00    2.46   63.1  651.7   -0.8   -0.3    2.71    0.01   -1.45
54545.144  2008-03-20  03:26  0.994  -7.20    0.00    2.46   63.0  651.5   -0.8   -0.3    2.71    0.01   -1.45
54545.146  2008-03-20  03:29  0.994  -7.20    0.00    2.46   63.0  651.4   -0.8   -0.3    2.71    0.01   -1.45
54545.148  2008-03-20  03:32  0.994  -7.20    0.00    2.46   63.0  651.2   -0.9   -0.3    2.71    0.01   -1.46
54545.150  2008-03-20  03:35  0.994  -7.20    0.00    2.46   62.9  651.0   -0.9   -0.3    2.71    0.01   -1.46
54545.152  2008-03-20  03:38  0.994  -7.20    0.00    2.47   62.9  650.9   -0.9   -0.3    2.71    0.01   -1.46
54545.154  2008-03-20  03:41  0.994  -7.20    0.00    2.47   62.9  650.7   -0.9   -0.2    2.71    0.01   -1.46
54545.156  2008-03-20  03:44  0.994  -7.20    0.00    2.47   62.9  650.6   -0.9   -0.2    2.71    0.01   -1.46
54545.158  2008-03-20  03:47  0.994  -7.20    0.00    2.47   62.8  650.4   -0.9   -0.2    2.71    0.01   -1.46
54545.160  2008-03-20  03:50  0.994  -7.20    0.00    2.47   62.8  650.3   -0.9   -0.2    2.71    0.01   -1.46
54545.162  2008-03-20  03:53  0.994  -7.20    0.00    2.47   62.8  650.1   -0.9   -0.2    2.71    0.01   -1.46
54545.164  2008-03-20  03:56  0.994  -7.20    0.00    2.47   62.7  650.0   -0.9   -0.2    2.71    0.01   -1.46
54545.166  2008-03-20  03:59  0.994  -7.20    0.00    2.48   62.7  649.8   -0.9   -0.2    2.71    0.01   -1.46
54545.169  2008-03-20  04:02  0.994  -7.20    0.00    2.48   62.7  649.7   -0.9   -0.1    2.71    0.01   -1.46
54545.171  2008-03-20  04:05  0.994  -7.20    0.00    2.48   62.7  649.5   -0.9   -0.1    2.71    0.01   -1.46
54545.173  2008-03-20  04:08  0.994  -7.20    0.00    2.48   62.6  649.4   -0.9   -0.1    2.71    0.01   -1.46
54545.175  2008-03-20  04:11  0.994  -7.20    0.00    2.48   62.6  649.2   -0.9   -0.1    2.71    0.01   -1.46
54545.177  2008-03-20  04:14  0.994  -7.20    0.00    2.48   62.6  649.1   -0.9   -0.1    2.71    0.01   -1.46
